batch_idx,batch_time_seconds,num_success,num_failed
149,7.19,50,0
150,7.38,50,0
151,6.85,50,0
152,7.00,50,0
153,6.54,50,0
154,6.77,50,0
155,7.88,50,0
156,7.79,50,0
157,7.35,50,0
158,7.89,50,0
159,8.08,50,0
160,7.55,50,0
161,6.96,50,0
162,7.17,50,0
163,8.48,50,0
164,8.17,50,0
165,8.28,50,0
166,8.79,50,0
167,7.61,50,0
168,8.74,50,0
169,8.31,50,0
170,8.03,50,0
171,8.51,50,0
172,8.46,50,0
173,8.23,50,0
174,8.25,50,0
175,8.29,50,0
176,8.20,50,0
177,7.47,50,0
178,7.06,50,0
179,6.61,50,0
180,6.52,50,0
181,6.41,50,0
182,6.38,50,0
183,6.71,50,0
184,6.66,50,0
185,6.05,50,0
186,6.20,50,0
187,6.37,50,0
188,6.38,50,0
189,6.06,50,0
190,6.72,50,0
191,5.92,50,0
192,6.08,50,0
193,6.51,50,0
194,6.31,50,0
195,6.95,50,0
196,6.90,50,0
197,6.54,50,0
198,6.93,50,0
199,6.33,50,0
200,5.97,50,0
201,6.00,50,0
202,5.51,50,0
203,5.79,50,0
204,6.32,50,0
205,6.55,50,0
206,5.56,50,0
207,5.99,50,0
208,6.21,50,0
209,6.29,50,0
210,5.95,50,0
211,6.10,50,0
212,5.65,50,0
213,6.20,50,0
214,5.55,50,0
215,6.73,50,0
216,8.04,50,0
217,8.19,50,0
218,8.21,50,0
219,7.61,50,0
220,7.92,50,0
221,7.75,50,0
222,6.92,50,0
223,6.17,50,0
224,6.63,50,0
225,6.83,50,0
226,8.01,50,0
227,7.50,50,0
228,6.92,50,0
229,7.58,50,0
230,7.26,50,0
231,8.08,50,0
232,7.46,50,0
233,8.14,50,0
234,7.03,50,0
235,7.56,50,0
236,7.28,50,0
237,7.13,50,0
238,8.48,50,0
239,8.08,50,0
240,8.00,50,0
241,7.87,50,0
242,7.90,50,0
243,8.27,50,0
244,7.90,50,0
245,7.75,50,0
246,7.94,50,0
247,6.75,50,0
248,6.39,50,0
249,6.67,50,0
250,6.95,50,0
251,7.49,50,0
252,6.49,50,0
253,7.03,50,0
254,6.61,50,0
255,6.26,50,0
256,6.43,50,0
257,5.93,50,0
258,6.28,50,0
259,6.86,50,0
260,6.30,50,0
261,6.27,50,0
262,6.84,50,0
263,6.27,50,0
264,7.00,50,0
265,6.62,50,0
266,6.84,50,0
267,6.30,50,0
268,7.08,50,0
269,6.18,50,0
270,6.64,50,0
271,6.25,50,0
272,6.67,50,0
273,7.03,50,0
274,6.60,50,0
275,6.05,50,0
276,7.09,50,0
277,10.26,50,0
278,9.81,50,0
279,8.55,50,0
280,8.92,50,0
281,8.65,50,0
282,8.90,50,0
283,7.95,50,0
284,7.53,50,0
285,8.05,50,0
286,7.68,50,0
287,7.12,50,0
288,7.65,50,0
289,8.76,50,0
290,9.45,50,0
291,10.22,50,0
292,9.22,50,0
293,8.11,50,0
294,9.22,50,0
295,8.30,50,0
296,9.44,50,0
297,8.19,50,0
298,8.29,50,0
299,8.64,50,0
300,7.83,50,0
301,9.32,50,0
302,9.49,50,0
303,8.29,50,0
304,8.79,50,0
305,8.85,50,0
306,8.76,50,0
307,9.16,50,0
308,7.93,50,0
309,11.58,50,0
310,8.52,50,0
311,9.27,50,0
312,9.98,50,0
313,9.44,50,0
314,7.30,50,0
315,7.73,50,0
316,8.36,50,0
317,13.35,50,0
318,8.13,50,0
319,8.24,50,0
320,8.78,50,0
321,8.54,50,0
